,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,C1err,C2err,C3err,C4err,C5err,C6err,C7err,C8err,C9err,C10err,C11err,C12err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,H9err,H10err,H11err,H12err
11,38.97835492,27.29618826,32.96548958,30.56286818,42.23443645,28.53018956,39.74820241,39.14011254,39.54573523,32.08345153,28.39437172,43.88630064,23.38429431,22.74433211,23.05120088,22.52200531,26.69060257,24.09726397,24.14616312,25.86065804,24.18874454,23.30238198,23.58263358,22.95443396,0.33334346,0.51981768,0.51963484,0.57833518,0.73538519,0.6781493,0.42296092,0.48742118,0.77000784,0.43241883,0.59945737,0.50744611,0.07208314,0.06171438,0.05421904,0.05872597,0.06207807,0.05471599,0.04131011,0.04585022,0.04661744,0.05219276,0.03995734,0.06074324
12,42.96491562,26.60662277,39.69532084,40.68384042,43.50325708,40.00861034,46.66847968,31.51502943,48.74398876,30.46632071,23.65377749,44.88857041,23.84869066,22.36032467,24.05258716,23.50468606,25.32573126,25.50525831,26.21430146,24.49466817,23.7854984,22.6233326,22.47234028,22.99889626,0.62748495,0.50669278,0.37650679,0.55358486,0.46698785,0.59489332,0.46761416,0.38088477,0.51542694,0.3972523,0.50790769,0.54842689,0.06572595,0.0565675,0.03375713,0.03921376,0.04319351,0.05894218,0.05177482,0.05472517,0.04554507,0.04821266,0.06907653,0.04751179
13,28.79810886,32.0909226,37.15254848,13.21160231,48.04584838,49.03615029,22.41541365,41.56972906,46.04713903,40.04807346,50.47553167,13.10913149,23.30020395,23.36291338,24.51871315,23.11877337,24.71759797,25.54759961,24.30421484,26.01779085,24.00137772,23.39553444,23.3073746,22.10389994,0.60527378,0.93838065,0.41257864,0.80185919,0.76287313,0.72016619,0.80612834,0.84688143,0.80697294,0.82480965,0.64192237,0.73637036,0.0649338,0.06968367,0.04835318,0.06225604,0.08503611,0.06617718,0.10288875,0.07020016,0.05983866,0.0525915,0.06326965,0.07698757
14,31.76001765,30.83256774,34.28817112,31.2627051,35.82103119,18.36293387,43.36500549,39.73169945,22.76541373,40.33838819,44.07029031,20.97653055,22.63288618,24.90726858,22.86614995,22.9372448,24.37138898,23.81796548,24.78223408,25.51749271,21.78190179,22.94076102,23.31867801,21.87227731,0.5509349,0.72205615,0.90901396,0.55300765,0.40685635,0.64689518,0.49471598,1.37362032,0.77979062,0.37702255,1.4103677,0.67633269,0.16499118,0.04198437,0.05400002,0.07351444,0.07144591,0.05001928,0.06016321,0.10174246,0.06597823,0.06811789,0.14624296,0.07505358
15,44.55668285,28.50828005,38.39776848,48.40237901,41.34800408,33.36130718,39.86844357,47.11611603,30.16619908,41.91375339,45.67463916,21.20775666,24.71081258,24.08184373,23.47563319,24.34345819,23.94093062,25.30749506,24.62660396,24.47834927,22.95027171,24.49854594,24.85173036,22.67793531,0.47018203,0.49674684,0.39661092,0.64729972,0.55305572,0.42120314,0.53140143,0.45862395,0.45873721,0.45297712,0.39935018,0.89904051,0.03772409,0.04128372,0.05393311,0.06209466,0.04211714,0.03721818,0.0551563,0.04599319,0.03602661,0.05116401,0.05058398,0.05103219
16,35.30797347,26.69965935,40.63975813,47.50786462,33.78426804,32.41112284,35.54379787,41.3295725,49.05595031,28.8301629,28.22769784,39.89609494,23.63103861,23.20448618,23.59381084,23.98580961,24.71621012,23.21711219,24.7694251,24.81558931,24.52880262,23.3481389,22.54055376,24.1144395,0.77361877,0.40823692,0.45566038,0.34801597,0.37871581,0.72147249,0.62073549,0.56031968,0.73357803,0.43855175,0.54187655,0.5681326,0.05669152,0.03610908,0.07185664,0.05675308,0.06619882,0.06246766,0.08541499,0.0469053,0.04964496,0.03804752,0.03953628,0.03561999
17,24.97342146,38.87639192,29.92910722,36.05943358,40.13773699,42.29782164,27.53389201,49.20507383,41.12551635,31.44538625,45.09614723,43.43086551,24.25872043,24.45153,23.36941029,23.67817285,25.77682484,24.62847768,24.40089439,25.47259021,24.15472289,22.93144203,24.5900136,24.00787646,0.61786112,0.37530972,0.59080118,0.72276146,0.40043549,0.52516491,0.89070763,0.58620377,0.32460024,0.49590813,0.51586302,0.44453837,0.06196072,0.04494202,0.05703584,0.05480728,0.07315356,0.0606736,0.09319744,0.07463297,0.05579862,0.06073186,0.06013605,0.07627596
18,37.86431222,20.74622524,22.90595548,27.36860522,43.6994935,19.89158091,37.14048799,37.90973523,50.03582841,48.62487825,41.94626901,40.55207128,23.2849921,21.5164188,23.30097879,22.5521691,24.49142222,23.98418525,24.23968191,23.98698185,23.97702226,24.39378188,23.11682319,24.44951129,0.57848906,1.65635543,0.61558414,0.45865663,0.39825833,1.33410827,0.46299649,0.86109094,0.77957558,0.83496572,0.83719724,0.65173206,0.03878012,0.08149093,0.04458687,0.05404384,0.05187765,0.06529108,0.05442176,0.0892958,0.03871576,0.0633874,0.0543657,0.06083095
19,28.30102719,44.51881522,17.72046562,46.80982167,40.98150733,39.04884445,34.14153386,41.13875705,40.15992283,26.24381696,27.03862844,51.34637951,23.20953709,24.82723501,22.39168721,24.12423356,25.30908284,25.56482785,24.56373586,26.20977858,23.5098497,22.98761816,23.57239921,24.57799424,0.59100856,0.40248237,0.79092282,0.89347384,0.57384664,0.97017132,0.65386174,1.00592452,0.56795781,0.593492,0.71184417,0.5115687,0.04994918,0.09863539,0.09380463,0.07943431,0.0695921,0.07237582,0.0536547,0.10675233,0.09877659,0.06609866,0.05083803,0.07138243
20,24.99988584,32.74030637,29.89773682,37.20118176,35.29553135,53.97979348,56.25488526,34.77006736,46.79907669,49.2827255,29.67607898,47.89240255,23.36164426,23.37985013,22.88362175,23.82109416,24.6993296,26.26605397,27.08795955,24.82819362,24.2065372,24.94573673,24.07825464,24.29141257,0.57544663,0.6898618,0.60359631,0.55178816,0.72911997,0.60337267,0.78294759,0.62055548,0.63816385,0.67616686,0.54801323,0.75913227,0.06420324,0.04383796,0.0397818,0.05331725,0.05926143,0.05283093,0.05172144,0.06703809,0.05724223,0.03894294,0.04346861,0.05103743
