,O1,O2,O3,O4,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,O5,O6,O7,O8,C5,C6,C7,C8,H7,H8,H9,H10,H11,H12,O1err,O2err,O3err,O4err,C1err,C2err,C3err,C4err,H1err,H2err,H3err,H4err,H5err,H6err,O5err,O6err,O7err,O8err,C5err,C6err,C7err,C8err,H7err,H8err,H9err,H10err,H11err,H12err
10,0.0,0.0,0.0,0.0,-3.85940651,5.55164382,149.12428368,140.08264836,16.34649142,16.71462673,29.00723777,27.872668,28.33915203,24.6516371,0.0,0.0,0.0,0.0,-14.17949033,-9.36810018,149.59303749,133.89343343,9.90465963,11.57757174,27.7105245,26.41087216,25.83452179,27.29399007,0.0,0.0,0.0,0.0,0.52894853,0.77334655,0.53115319,1.01885213,0.21060207,0.19429038,0.12897867,0.15310427,0.11933898,0.25744712,0.0,0.0,0.0,0.0,0.58048541,0.53047888,0.93765286,0.82425576,0.16053563,0.12992817,0.13541288,0.10365316,0.09837029,0.12173737
11,0.0,0.0,0.0,0.0,-2.41393694,-14.41696665,133.37198032,150.1382137,15.88936118,18.42069266,26.71620688,30.22301086,26.97968372,27.32012541,0.0,0.0,0.0,0.0,-2.57530936,-29.25722368,142.42036597,153.87745449,18.59995047,16.53906247,29.11788255,31.4035621,26.15399766,30.68612506,0.0,0.0,0.0,0.0,0.92183879,0.69639999,0.61362239,0.85283378,0.14435485,0.14310274,0.10594211,0.08881912,0.1169873,0.23272242,0.0,0.0,0.0,0.0,0.75948186,1.64907364,0.68875291,1.05217377,0.2246584,0.1804937,0.11273723,0.19065369,0.12161033,0.22105167
12,0.0,0.0,0.0,0.0,-19.13747104,-16.95387775,148.83388641,137.1683963,21.91759906,17.01194452,29.27714604,26.32436591,29.0345878,23.07068357,0.0,0.0,0.0,0.0,-27.51117775,2.51511833,137.58765664,140.58841907,16.0171653,11.292344,29.26326452,24.94394267,27.27226235,27.1220968,0.0,0.0,0.0,0.0,1.1479346,1.16498416,0.79058829,0.93872381,0.39809233,0.14381814,0.10737125,0.15275644,0.11137798,0.28395186,0.0,0.0,0.0,0.0,0.61745958,0.78117202,0.58075832,0.78156596,0.11645646,0.10733788,0.0698693,0.16894835,0.07805416,0.09312215
13,0.0,0.0,0.0,0.0,-21.62825043,-11.93347821,131.53406682,147.2446753,14.60992332,19.28106197,25.4738024,30.18568344,27.58837256,29.35994461,0.0,0.0,0.0,0.0,-26.49221988,-8.72429666,138.39379166,156.87062652,13.70033323,12.69906808,25.78729459,29.64302127,29.96698029,31.39892233,0.0,0.0,0.0,0.0,0.5698187,0.78725612,0.58605819,0.57626105,0.21365699,0.26674796,0.13470647,0.09087369,0.16983049,0.18227999,0.0,0.0,0.0,0.0,0.3387693,1.21726495,1.02223873,1.34451189,0.15917329,0.1368585,0.13234952,0.28903082,0.11685257,0.15493191
14,0.0,0.0,0.0,0.0,0.08840848,4.78867784,152.39976733,148.60844801,18.71345848,15.53510975,31.24556302,27.67922632,28.44506075,27.25198105,0.0,0.0,0.0,0.0,-21.56358375,-24.44701938,137.57149697,136.18915282,18.66025686,10.17598632,26.62748004,26.42016057,27.18624252,26.80190627,0.0,0.0,0.0,0.0,0.53239015,1.24747155,0.76933255,0.77663755,0.2161681,0.550789,0.14802005,0.15975323,0.17170589,0.15110074,0.0,0.0,0.0,0.0,0.51635654,0.6333897,0.6326856,0.83567558,0.20726124,0.13532786,0.15159076,0.12936239,0.11466777,0.09689309
15,0.0,0.0,0.0,0.0,-13.05423118,-25.51051444,150.40737352,130.4759531,16.0830836,16.72150009,27.49734139,25.84750248,32.37667511,25.33601547,0.0,0.0,0.0,0.0,-26.58109785,-17.37051995,138.84595339,147.51941511,16.04004131,15.37750043,27.61966922,32.22292004,28.54746542,28.75350645,0.0,0.0,0.0,0.0,0.78384219,0.61856192,0.95589314,0.62002203,0.18005357,0.20703636,0.08851971,0.10438246,0.18896014,0.16581304,0.0,0.0,0.0,0.0,0.37495477,0.50731908,0.53782044,0.8067724,0.11973333,0.08276505,0.10824591,0.11609524,0.07687457,0.10349781
16,0.0,0.0,0.0,0.0,-4.27013859,-13.64291583,123.36509104,138.52368107,18.37255686,17.43128233,27.05921212,28.45013898,22.9214783,26.96243801,0.0,0.0,0.0,0.0,-7.41343306,-6.48528944,133.17243418,138.29269065,21.48915861,12.85121445,27.7382266,26.12467945,25.87170765,26.29996846,0.0,0.0,0.0,0.0,0.65215926,0.73938176,1.26262891,0.94424378,0.09065048,0.12195565,0.18749911,0.11688217,0.15694818,0.09316672,0.0,0.0,0.0,0.0,0.53220858,0.69215769,0.6477797,0.74006406,0.22596993,0.18576471,0.15824664,0.10175207,0.10505725,0.07263274
17,0.0,0.0,0.0,0.0,-0.43165722,-4.70993289,142.99189298,134.78726865,18.09236681,13.03485902,26.43426335,26.0852356,32.36560854,28.38150453,0.0,0.0,0.0,0.0,-17.16250054,-7.68780328,140.95708557,138.10902165,15.05106333,14.32166592,24.51183135,28.34579162,29.15739384,27.76176158,0.0,0.0,0.0,0.0,0.53137121,0.51630906,1.28588658,0.69089229,0.2629732,0.10734879,0.13741674,0.1102666,0.21600823,0.1408017,0.0,0.0,0.0,0.0,0.84560551,0.56492227,0.7688921,0.89580914,0.18431908,0.07651614,0.13197866,0.13590405,0.12302214,0.1086705
18,0.0,0.0,0.0,0.0,-16.75897391,-7.54443483,140.3992666,141.41818274,14.74451475,17.6991318,29.80335992,27.66818358,25.44000632,24.96505601,0.0,0.0,0.0,0.0,-8.71048655,-19.70003584,153.64486105,150.23906815,20.93398251,21.19731106,31.58256417,29.99830022,27.7511772,27.88680822,0.0,0.0,0.0,0.0,0.51743,0.52759585,0.47195815,0.6039702,0.13668093,0.12965173,0.13068686,0.12364676,0.10428293,0.09377999,0.0,0.0,0.0,0.0,1.31328083,1.87735315,0.87941823,1.12542211,0.49742996,0.27036451,0.14914153,0.16146824,0.10749215,0.12724586
19,0.0,0.0,0.0,0.0,-12.84461765,3.49643742,155.3710326,162.70004817,17.73528919,17.42850541,27.91680081,30.27215289,33.28578279,31.36772687,0.0,0.0,0.0,0.0,-21.26839163,-11.78930113,128.67258991,141.46787225,19.91943477,18.19732677,25.96746465,27.12278931,24.27104555,26.1778276,0.0,0.0,0.0,0.0,1.09125022,1.07722911,1.22085884,1.25359676,0.21876091,0.14705295,0.13215902,0.19546768,0.09815189,0.14620144,0.0,0.0,0.0,0.0,0.47872397,0.4556819,0.8123172,0.50159497,0.15283576,0.10821809,0.1390607,0.12447278,0.17970323,0.06659771
