################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         37   3.0205788612816423E-05   2.3146869591039378E-02   2.2144806558818237E-03   1.1424083322065428E-03
         1         38   4.1573221269547085E-13   1.6584300352722979E-02   1.3326669060909212E-03   1.2869364929835809E-03
         1         39   9.1209216155177358E-08   1.4532497131217724E-02   3.6547702418193379E-03   9.0745045986046586E-04
         1         40   0.0000000000000000E+00   5.9786454865959513E-03   2.9110641553555616E-06   4.4972999839181780E-05
         1         41   2.5505347273361381E-09   1.6776484767029119E-02   1.9052442323296542E-03   1.5025069035912205E-03
         1         42   3.5539058738121894E-15   7.2598815323610157E-03   1.9442097766575759E-04   2.6218690232696643E-04
         1         43   5.0160872146902308E-07   1.2831176234861972E-02   3.3874253756458232E-04   3.3896349108359627E-04
         1         44   0.0000000000000000E+00   5.7398835573318286E-03   3.1958840535222825E-06   3.9912538865129296E-05
         1         45   1.5708464375135195E-11   1.5727585209199938E-03   4.0512333475284287E-05   3.7092017255502396E-05
         1         46   0.0000000000000000E+00   4.8381027774286565E-03   3.3737591706209223E-05   5.6683375619106801E-05
         1         47   3.5899589293116460E-07   5.4220603453557902E-03   2.3081264387024279E-04   2.0135871642096718E-04
         1         48   3.5928131397850799E-09   4.9308321477149891E-03   5.2743298860776838E-05   9.4350962816261305E-05
         1         49   1.2488416249952537E-12   1.5038730397356633E-03   3.3839053093649959E-05   4.2861929604030087E-05
         1         50   0.0000000000000000E+00   5.1044790866549223E-03   1.8457346114394191E-05   4.5941805507495062E-05
         1         51   0.0000000000000000E+00   7.1194258564295841E-04   9.8323655795913788E-07   8.3875239484300452E-06
         1         52   6.9754982635468690E-23   1.8958664595066107E-03   1.5281835554204847E-06   1.6828421012064064E-05
         1         53   6.8184625352699165E-07   1.2438240348973980E-02   1.7121881423366725E-03   1.6874082955722093E-03
         1         54   8.5740897203185221E-09   2.2240561040751811E-02   2.1631757594003657E-04   7.9559037146819409E-04
         1         55   0.0000000000000000E+00   7.3496318272831896E-04   1.2672607641570347E-06   1.1245674951296213E-05
         1         56   2.9545189658307608E-21   5.2729936903726099E-04   1.6874964376623624E-06   4.4592899997833222E-06
         1         57   1.0940399093015907E-16   8.4718993353525695E-04   8.1321056985598080E-06   1.3708088873208943E-05
         1         58   2.3359936009990298E-16   1.2513831819141525E-04   5.9323853639937457E-07   1.5649009187492203E-06
         1         59   4.8623718263706551E-17   1.1913740593070387E-03   2.2428952172356667E-06   1.2925008754868606E-05
         1         60   5.3613227335373151E-18   2.9394960144494918E-04   2.4479315258146949E-07   1.5278445931503059E-06
         1         61   2.0864198674013216E-12   8.5794540129857707E-03   1.5488037582358884E-03   1.4477101563547948E-03
         1         62   0.0000000000000000E+00   1.0803250232409695E-05   5.3221880614441348E-10   3.6390547541056294E-08
         1         63   2.8816124369515071E-23   7.1239857563402899E-05   6.6855590578468653E-08   2.3907389528207476E-07
         1         64   2.6966981480989256E-13   1.7258091730685853E-03   4.9555959176809582E-05   8.4405733572959121E-05
         1         65   2.5814541471513681E-16   3.4278491520342547E-03   4.5568556327318334E-06   5.0985122709190195E-05
         1         66   1.5638776433316558E-19   2.8255463575848499E-04   9.3151815111417405E-06   7.7283898605602840E-06
         1         67   2.4675008912898776E-16   3.7902743783338737E-04   7.5112790722651165E-07   5.0009318199147712E-06
         1         68   4.0025088004515852E-23   1.2439283637836002E-05   7.4303977224502422E-09   6.2485943027045934E-08
         1         69   0.0000000000000000E+00   1.4865147159699444E-04   6.9220280317647179E-09   3.6379375502267070E-07
         1         70   8.7822105894360381E-15   5.5834206672730627E-05   1.5264470744620700E-07   3.2529626887413948E-07
         1         71   6.1822043352360826E-15   5.1385357255870768E-04   7.4175173819128554E-07   2.1357204252231564E-06
