################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2924794416731153E-01 a       459     0    20     1     3
 -1.4000888067381628E-01 a       460     0    20     1     4
  1.0660018126764124E-01 a       461     0    20     1     5
  1.2554079661751766E-01 a       462     0    20     1     6
  5.5136597610125682E-02 a       463     0    20     1     7
 -1.7226754283281687E-01 a       464     0    20     1     8
 -1.9417977184079994E-02 a       465     0    20     1     9
  1.6339631512356750E-01 a       466     0    20     1    10
  1.4307165132744695E-01 a       467     0    20     1    11
  6.6867486231118420E-02 a       468     0    20     1    12
  7.0360558197773496E-02 a       469     0    20     1    13
 -1.3908017507841401E-02 a       470     0    20     1    14
  4.9533399378996992E-02 a       471     0    20     1    15
 -1.9251667620489476E-02 a       472     0    20     1    16
  8.1257408088675598E-02 a       473     0    20     1    17
  1.7077578253577672E-01 a       474     0    20     1    18
  2.2715611599419001E-02 a       475     0    20     1    19
 -1.3314667669924363E-01 a       476     0    20     1    20
 -6.0849993359064235E-02 a       477     0    20     1    21
  4.3093947651968159E-03 a       478     0    20     1    22
 -2.1327566371966672E-02 a       479     0    20     1    23
  5.3973231835407275E-02 a       480     0    20     1    24
  1.2535361291142907E-01 a       481     0    21     1     1
  2.1369271363875481E-01 a       482     0    21     1     2
  3.4541372397855201E-02 a       483     0    21     1     3
 -1.8304352121365239E-01 a       484     0    21     1     4
 -1.0681883371571561E-01 a       485     0    21     1     5
 -2.4279178798035106E-01 a       486     0    21     1     6
 -9.9284102389042506E-02 a       487     0    21     1     7
  1.6456395029798818E-01 a       488     0    21     1     8
 -1.4090628963105256E-02 a       489     0    21     1     9
 -1.4041909806339434E-01 a       490     0    21     1    10
  1.3072774900849007E-02 a       491     0    21     1    11
 -9.0640023781931381E-02 a       492     0    21     1    12
  2.2988780388087621E-02 a       493     0    21     1    13
  2.7161435123893263E-01 a       494     0    21     1    14
 -8.7982697863756620E-02 a       495     0    21     1    15
  9.4068939525202757E-03 a       496     0    21     1    16
 -1.3031992175758428E-01 a       497     0    21     1    17
  2.8671369502299218E-02 a       498     0    21     1    18
 -2.4792996276774135E-01 a       499     0    21     1    19
 -1.2188836560825921E-01 a       500     0    21     1    20
 -2.5516036430628630E-01 a       501     0    21     1    21
  1.0816373006674899E-01 a       502     0    21     1    22
 -1.4610608426993283E-02 a       503     0    21     1    23
 -4.7177330417436228E-02 a       504     0    21     1    24
 -7.0891430885002341E-02 a       505     0    22     1     1
  6.3287254175294932E-02 a       506     0    22     1     2
 -7.2989860916867003E-02 a       507     0    22     1     3
 -3.1112309057317086E-02 a       508     0    22     1     4
 -3.6469929666618210E-02 a       509     0    22     1     5
  5.4104370423004970E-03 a       510     0    22     1     6
 -1.0584715091231370E-01 a       511     0    22     1     7
  8.8043359933192469E-02 a       512     0    22     1     8
 -2.8111748579311688E-02 a       513     0    22     1     9
  5.5499050363058966E-03 a       514     0    22     1    10
 -3.1131463813596202E-02 a       515     0    22     1    11
 -1.4911064649845246E-01 a       516     0    22     1    12
 -1.4951602847774084E-01 a       517     0    22     1    13
 -1.2263945127461358E-01 a       518     0    22     1    14
 -8.0573608764952898E-02 a       519     0    22     1    15
 -1.9402185620140389E-02 a       520     0    22     1    16
