,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,C1err,C2err,C3err,C4err,C5err,C6err,C7err,C8err,C9err,C10err,C11err,C12err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,H9err,H10err,H11err,H12err
10,19.25446773,48.74604291,37.2635288,32.81470645,33.71692535,32.9961208,45.72287681,47.3013985,34.70074172,47.82561844,34.39723589,41.29498943,22.51416455,24.90440919,23.28684499,23.27286503,25.92280142,24.33407608,25.8430361,24.05103363,24.13354517,24.27192193,23.34779418,23.86842701,0.68712186,0.39173665,0.49792923,0.34499755,1.40911392,0.45575018,0.60602954,0.45552343,0.48879714,0.77452994,0.67589964,0.83782013,0.08305473,0.06420919,0.08099799,0.071658,0.12613381,0.05318141,0.04891515,0.06919997,0.03699855,0.10795241,0.05525111,0.04975419
11,28.63835534,28.93701802,26.05574731,30.45419784,16.67553954,44.37777269,32.35897734,30.2478883,34.63361063,19.33709231,32.30554477,39.04090114,24.57856239,23.51975307,23.61992173,23.14558247,23.84390876,24.50164108,24.8590474,23.85329424,23.38235591,22.48408414,23.6180297,23.44552534,0.59582118,0.36710015,0.90419171,0.46490552,0.48257591,0.41948408,0.47086755,0.4541856,0.41558419,0.99658096,0.75394942,0.41874505,0.05644879,0.05536685,0.10973998,0.0566071,0.07825859,0.05607468,0.05985778,0.06819323,0.04034732,0.05702676,0.05370875,0.03488352
12,42.46489936,45.14862758,34.79787929,30.46919165,41.61098655,40.59417534,46.66668366,28.31338677,43.79812449,38.36714899,29.39887797,36.72022771,24.27802209,25.15886235,23.19408857,23.35332731,24.72568248,24.35382245,25.64587281,25.28200247,24.78157329,24.52036022,22.209636,24.02267384,0.46303111,0.52266632,0.61748915,0.42022488,0.63407798,0.4581423,0.52569951,0.59937703,0.39443572,0.53348944,0.48673664,0.72580533,0.05904603,0.06958507,0.04830579,0.05011764,0.06646995,0.04200848,0.06397804,0.05612358,0.06051879,0.04819728,0.04154597,0.03589731
13,30.07621143,30.1114428,25.70009076,40.37781747,46.66610458,30.24421373,15.37276039,47.63581505,37.27746867,44.90618875,43.17293955,18.90600155,23.17755138,23.41096362,24.07862454,23.38784018,26.33336203,25.98257087,24.99267509,25.39764718,23.41087164,23.51943524,22.70384267,22.94443805,0.68863565,0.58867437,0.70294812,0.661136,0.78231401,0.88431067,0.97697276,0.35564069,0.52768131,0.82562176,0.69541457,0.76616439,0.07315283,0.07250097,0.06131107,0.0637332,0.06693597,0.10590286,0.07082995,0.05715603,0.04988736,0.05382723,0.07150672,0.05239923
14,26.98877589,42.4442593,26.62732893,28.86986647,31.72306611,43.05334515,39.5719279,41.85224584,38.03865321,36.33100121,46.1164736,30.22412413,23.45183326,23.69582964,23.838139,22.47306101,24.18765624,23.59396667,24.86473893,25.64256438,23.28676265,23.46537422,24.79813872,22.94618397,0.65609066,0.29274942,0.68912771,0.63006878,0.36189548,0.58909746,0.2783009,0.42886521,0.50936294,0.70413492,0.68125482,0.75241447,0.06418261,0.06659959,0.07547918,0.07320983,0.05488736,0.06709076,0.04047677,0.07333694,0.05290015,0.06428256,0.05980331,0.05548142
15,38.48414776,26.26038612,31.87877361,35.22493408,33.1690499,33.4110932,49.36566051,31.2978779,37.31262075,22.70693899,18.12803119,50.95540035,23.85050285,23.2088875,23.00129912,24.42085683,25.64899882,23.92332002,25.09208324,24.04742064,24.46243607,23.54176273,21.94143541,24.43696883,0.40280431,0.55962574,0.63735169,0.4828283,0.70349791,0.49064646,0.62357232,0.41698371,0.53111458,0.57155287,0.68773404,0.69056103,0.06491461,0.05041759,0.06836309,0.05947287,0.06838933,0.06012408,0.04086518,0.02877066,0.0465313,0.05285949,0.04262664,0.06627419
16,30.14182974,27.08892023,44.14131301,39.24051743,35.78919875,37.06331528,31.14483256,38.85710587,41.07906623,40.36356458,40.70847843,34.82637802,22.91649053,23.54648272,25.02664216,24.35152177,24.45550682,25.07936459,25.38795813,24.46999812,24.03474743,24.33187268,24.1666711,23.0640791,0.36020265,0.41990041,0.51916397,0.62853588,0.52522247,0.2517421,0.75339906,0.47253544,0.33531609,0.47661144,0.45448912,0.99778403,0.06482699,0.05358574,0.07864308,0.073475,0.06873588,0.0464414,0.05972447,0.03806685,0.04464572,0.0449026,0.05091899,0.06097488
17,17.1396349,37.40311096,19.93907313,35.71887199,30.45018021,39.41054477,25.61042919,43.14355868,36.69090768,37.02686034,42.20350546,29.1803161,23.17810417,24.32466843,23.58913227,22.96067135,24.77091857,24.62943909,25.15464474,25.03076734,23.37494288,23.5000934,23.52971822,22.17078993,0.57353138,0.48860943,0.81125396,0.52227853,0.50694587,0.38093702,0.52478043,0.53703403,0.5351408,0.50175046,0.5294046,0.5654646,0.0556598,0.06155542,0.06003423,0.06453555,0.0584289,0.04927794,0.05590924,0.05233176,0.04603773,0.05098877,0.06303195,0.0498348
18,24.13412484,52.45412788,38.36378822,19.6982461,35.11315624,33.7637631,54.09093422,27.17668015,17.15813996,37.31750738,36.68262554,30.61307393,23.66474079,25.05538563,24.44550273,23.41852215,25.70248533,24.98734642,26.2312535,23.05213894,23.04551493,22.97014755,23.33667966,24.22304709,0.45870482,0.83018333,0.35602143,0.68853609,0.33276692,0.44411491,0.5292371,0.44138535,0.71811396,0.65616138,0.4629649,1.61581389,0.0685956,0.05570613,0.04510743,0.05628947,0.06087545,0.0476427,0.07193414,0.04880404,0.04599353,0.05803798,0.0678197,0.0701507
19,41.46246624,7.98582453,26.87622872,37.95829219,41.59856457,27.73609679,34.45203432,31.93572132,48.25058391,28.70089245,18.62325023,36.77106032,23.57556379,22.38933427,22.81909902,23.33513736,24.35605238,24.51908875,24.38922072,25.48133398,24.99546689,23.62925476,22.74331227,22.91407284,0.5928607,0.71154526,0.50043758,0.32056662,0.44160393,0.62124705,0.46274257,0.63355421,0.66396659,0.69634381,0.60410142,0.45035748,0.07815165,0.07609111,0.07825271,0.05389183,0.05866254,0.08142204,0.07252515,0.08095545,0.05739801,0.05174723,0.05725167,0.05131838
