,O1,O2,O3,O4,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,O5,O6,O7,O8,C5,C6,C7,C8,H7,H8,H9,H10,H11,H12,O1err,O2err,O3err,O4err,C1err,C2err,C3err,C4err,H1err,H2err,H3err,H4err,H5err,H6err,O5err,O6err,O7err,O8err,C5err,C6err,C7err,C8err,H7err,H8err,H9err,H10err,H11err,H12err
10,0.0,0.0,0.0,0.0,-31.9887893,-27.5788821,142.28811087,140.01702359,14.69606668,14.71284074,30.70393183,26.16077831,25.55388921,27.94144432,0.0,0.0,0.0,0.0,-19.56276483,-12.88995356,149.88679921,155.50209775,11.71457819,9.55064446,30.91757011,29.2337181,29.04693715,28.90570643,0.0,0.0,0.0,0.0,0.68694405,0.87915804,0.57950454,0.70137875,0.14724652,0.26001612,0.11289744,0.21116406,0.15562585,0.2237616,0.0,0.0,0.0,0.0,0.90423852,0.68314729,0.73970827,1.16051618,0.14325416,0.22582887,0.14523304,0.2212091,0.10420007,0.13146538
11,0.0,0.0,0.0,0.0,-9.63215085,-35.02454856,132.12393442,139.56971769,16.31122292,11.73094012,24.34371132,28.42866582,24.92807658,23.9035996,0.0,0.0,0.0,0.0,-13.60246025,-18.35486718,142.7390275,142.04340206,10.73697615,11.61059106,26.71012373,27.46833504,28.15265866,26.57008956,0.0,0.0,0.0,0.0,0.70545146,1.0269516,0.72290154,0.88719607,0.13418268,0.21321065,0.23463358,0.23627758,0.23312652,0.22283285,0.0,0.0,0.0,0.0,0.64887134,0.48621508,0.58543545,0.64343297,0.25563184,0.25826361,0.11542297,0.09765647,0.09352549,0.10553348
12,0.0,0.0,0.0,0.0,-21.18777152,-23.71876345,134.03161881,146.08683998,12.54165378,13.02261748,29.84233732,27.94887559,26.66599136,27.86679398,0.0,0.0,0.0,0.0,-38.04706869,-25.29623664,143.68839679,132.14919402,15.7792302,11.24703567,27.35451036,26.71514131,29.40713573,26.7294425,0.0,0.0,0.0,0.0,0.93649893,0.92700532,1.19991776,0.82615503,0.13122519,0.19194347,0.16629133,0.25719458,0.2174739,0.24948557,0.0,0.0,0.0,0.0,0.76581543,0.55330227,0.58156368,0.89106196,0.30096237,0.39105207,0.28334335,0.15614447,0.1465611,0.15708282
13,0.0,0.0,0.0,0.0,-29.12365715,-16.2052512,143.023825,121.1802646,13.72245762,11.20787052,27.23848669,25.06613198,28.69255874,22.57967359,0.0,0.0,0.0,0.0,-21.72434696,-23.69504121,127.22455554,146.36220691,11.60176341,9.44874321,26.42680483,29.08251971,23.44389152,32.93304013,0.0,0.0,0.0,0.0,0.66321859,1.19920356,0.7675115,1.69148246,0.12270483,0.23942109,0.12205178,0.20219038,0.20385487,0.48641276,0.0,0.0,0.0,0.0,0.84649691,0.64488793,1.41442297,1.29405502,0.24379197,0.33304735,0.28620145,0.33911003,0.21780052,0.1964735
14,0.0,0.0,0.0,0.0,-19.08932023,-14.51810024,133.54795992,138.0810979,16.4837818,12.31569589,29.34102549,26.67822418,22.25670597,26.94182746,0.0,0.0,0.0,0.0,-20.85617923,-15.43441529,149.71716225,140.5232793,11.35497169,11.51008079,27.58886447,28.37039466,29.32646975,27.34755522,0.0,0.0,0.0,0.0,1.28461745,0.89797073,0.80541138,1.03176411,0.21606942,0.24783064,0.22735704,0.17176062,0.21783792,0.54163434,0.0,0.0,0.0,0.0,0.69563035,0.66782123,0.95590539,0.57462602,0.15965729,0.16216247,0.09398637,0.11957609,0.11708187,0.13932672
15,0.0,0.0,0.0,0.0,-31.22789264,-36.44368193,142.94045516,133.39276223,15.02049393,12.2252655,26.88432952,28.06738214,30.6213777,23.07234966,0.0,0.0,0.0,0.0,-16.47040705,-23.06309047,135.3667172,128.19042183,9.13738437,9.98869846,26.64464098,24.41187838,25.97246344,27.36961527,0.0,0.0,0.0,0.0,0.8700029,0.74396828,0.9430859,1.27946567,0.12073665,0.12433864,0.16183014,0.12047264,0.17972473,0.51875454,0.0,0.0,0.0,0.0,0.73262507,0.69091588,0.75807973,0.68982882,0.32519908,0.31712224,0.0764794,0.15648815,0.0978549,0.09922329
16,0.0,0.0,0.0,0.0,-16.28355549,-27.34489915,123.5747355,151.9556603,17.44168655,14.10337254,26.98007508,28.80176975,23.96316966,28.7735706,0.0,0.0,0.0,0.0,-22.42690789,-24.34365668,142.2627442,144.00274874,9.71972129,15.38913751,28.38162771,26.54370485,27.92487346,27.78570286,0.0,0.0,0.0,0.0,0.99122031,1.02245457,1.50317356,1.80530967,0.20032583,0.17624804,0.18417064,0.23273652,0.23901141,0.50189395,0.0,0.0,0.0,0.0,0.76237379,0.6463657,0.62372866,0.69720538,0.41293798,0.20650164,0.08742928,0.13364386,0.10868194,0.12456701
17,0.0,0.0,0.0,0.0,-27.90999054,-22.97551024,140.38672167,136.49925453,14.74641288,10.94896211,30.66371408,27.19369325,26.93275569,22.56395227,0.0,0.0,0.0,0.0,-17.31314453,-14.18860464,132.06888069,138.58573164,11.11326444,11.89056358,24.71983444,27.22133774,26.79547763,29.10596024,0.0,0.0,0.0,0.0,1.38253475,0.79129414,1.23412753,1.4585601,0.14064442,0.26646554,0.15984687,0.11386657,0.19464959,0.40524348,0.0,0.0,0.0,0.0,1.04301224,0.60468205,0.651173,0.75488572,0.36014303,0.33040961,0.14171779,0.13070092,0.14320502,0.09341767
18,0.0,0.0,0.0,0.0,-30.03493895,-20.00480921,152.7431409,134.58945017,15.91875314,13.10750645,26.92368981,26.08985654,25.65594623,26.51930027,0.0,0.0,0.0,0.0,-32.63900923,-10.8294246,142.93015171,141.05164756,9.51372121,15.9416781,27.64238876,26.37513829,26.6857755,28.05731711,0.0,0.0,0.0,0.0,0.9452761,0.81494396,1.53653005,1.27615547,0.20325676,0.22311051,0.25521713,0.13891651,0.41549452,0.53009843,0.0,0.0,0.0,0.0,1.38725245,0.75545493,0.84424546,0.60105616,0.25407055,0.43103137,0.21311165,0.14681234,0.11828094,0.11604897
19,0.0,0.0,0.0,0.0,-13.94451131,-22.86474364,131.13874045,139.88545225,13.38722098,16.2382417,25.82074384,28.27116921,22.59807667,27.61224816,0.0,0.0,0.0,0.0,-29.47710921,-21.16009665,139.49618485,129.09544347,8.51419495,9.31158489,27.71099948,25.48416568,30.01976472,26.4649543,0.0,0.0,0.0,0.0,0.79891024,0.97458177,1.24298071,0.86569668,0.17848068,0.18981941,0.28900125,0.1270831,0.60650403,0.30811852,0.0,0.0,0.0,0.0,0.55728316,0.92125355,0.99809432,0.69146029,0.2915609,0.24313935,0.1865031,0.15344948,0.12852599,0.13731296
