,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12,O1err,O2err,O3err,O4err,O5err,O6err,O7err,O8err,C1err,C2err,C3err,C4err,H1err,H2err,H3err,H4err,H5err,H6err,H7err,H8err,C5err,C6err,C7err,C8err,H9err,H10err,H11err,H12err
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.79209348,144.63717736,146.6932002,151.36443787,29.24970086,27.47529176,27.18448578,27.9943203,32.06106386,28.04860642,27.48507581,31.43991582,-0.65982077,-1.27544376,-13.57709112,-19.1530313,19.43536355,16.73172308,17.40882914,16.14121475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98291357,0.66107048,0.67275313,1.24212184,0.09489219,0.08524942,0.14094205,0.12433712,0.14989203,0.11421489,0.11810311,0.14334561,0.66033882,0.71920476,0.33976924,0.6419248,0.13865443,0.20595347,0.1713152,0.21017959
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.11180553,143.11078202,143.89287773,135.5300715,24.74479742,27.37841538,28.24872586,27.51537185,24.66409153,26.87102689,26.82923269,24.64648023,-6.51262887,-14.42761777,-3.51987317,-10.23787337,20.73487853,20.48690581,15.85981412,17.6012837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75813441,0.70044133,0.73631113,0.97296739,0.11844142,0.12950999,0.14811526,0.27686094,0.11731417,0.22286766,0.08150407,0.23349038,0.55530816,0.68382481,0.47387031,1.09255339,0.15011899,0.30752568,0.13675082,0.31865653
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.35426327,133.34663552,149.23170265,140.04621586,29.98318455,25.35087349,26.52858852,24.73162427,26.76232406,29.13453584,31.15260913,29.82159526,-13.93724112,-22.7715977,-14.96289838,-7.52682142,14.69033606,13.35577477,16.85389313,13.56496022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38976749,0.50556763,1.1883881,1.0986404,0.13873184,0.13083224,0.19002191,0.14650121,0.14657733,0.14431637,0.13682814,0.13025542,0.35528372,0.42577298,0.52133062,0.52760289,0.15898366,0.11494516,0.09977473,0.1256355
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.23033445,146.29425024,145.39377283,133.73149537,21.80583407,30.5084395,27.67591354,27.9712103,28.17659698,30.87249616,25.97060336,24.79494625,-19.26746044,-17.73003455,-10.64329849,-13.7473488,12.77376402,18.25175629,17.05117228,19.55528289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30227711,0.78645523,0.62081495,0.5388668,0.09923357,0.18697169,0.09678746,0.11828981,0.16500584,0.22113635,0.09877247,0.14135927,0.51115547,0.42018168,0.4386171,0.70040629,0.09446524,0.12728997,0.12182615,0.21171617
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.84851926,141.06389329,138.90476217,140.33600591,26.97710724,24.66709951,28.99068528,27.93372442,27.76206812,29.87810031,27.21220851,27.26284886,-23.5117735,-15.24073808,-20.77173252,-8.67282699,12.25626307,17.14918496,13.59924431,14.86620861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353324,0.69532133,0.26629578,0.86627805,0.07912928,0.12361646,0.1730893,0.1095159,0.10162377,0.12793862,0.08465948,0.07739763,0.41883673,0.45844139,0.54221538,0.7196831,0.15637268,0.15539899,0.15582639,0.12945703
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.96864114,147.62546989,119.3113321,137.94144609,25.94471252,28.60854544,24.67127634,26.66161741,26.52571388,31.25273663,26.36132988,25.33228497,2.80084161,-10.1617247,-16.84567659,-8.02676543,10.45451373,15.05953236,13.75506141,18.09615677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63954538,0.68755555,0.54595519,1.06925143,0.14788394,0.07629176,0.1397189,0.25819238,0.08734195,0.14407535,0.10844965,0.21781342,0.63444853,0.64977992,0.54360439,0.89747535,0.15178575,0.26290571,0.16697008,0.15782922
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.917414,122.73103033,145.80018184,148.00265295,26.86139049,24.16069957,29.11380826,28.11615975,30.34370169,25.06097924,29.1258249,25.96288782,-12.72709068,-13.9566849,-18.76571683,-21.72927486,14.92871344,22.5276398,21.12957482,17.61628305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40917345,0.79844087,0.47303928,0.49802243,0.09018056,0.07654305,0.19136286,0.0864005,0.14702074,0.09261353,0.10982369,0.13948047,0.35914086,0.50369569,0.57654986,0.7757312,0.14695837,0.22991318,0.2842333,0.17573081
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.34367159,142.21654812,145.44837874,143.39522528,28.01657825,27.94688551,27.30749833,28.9316118,28.55806579,28.80367483,26.76997084,27.92897801,-8.7235475,-12.39368837,0.63638617,-12.44077227,16.12653767,16.76116008,16.74613491,18.00026639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36173295,0.60926194,0.54967902,0.82093198,0.1008216,0.1130677,0.11544258,0.14114059,0.09948904,0.1179113,0.07320955,0.1687192,0.65958646,0.49630051,0.46428733,0.56631919,0.15055015,0.12500475,0.11540188,0.19319948
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.20815292,131.10408087,136.76828689,140.48330594,27.12326486,25.24129557,27.83630596,29.39721058,28.78113443,25.4292096,26.50540652,27.35563514,-14.81555567,-20.84652483,-2.99209408,1.69539276,17.28625387,19.19310712,16.48743931,21.9246828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46696792,1.13342274,0.59344046,0.94418913,0.07616566,0.08758044,0.11291026,0.23144274,0.08395703,0.09403724,0.09815984,0.10982164,0.59846302,0.90051836,0.66486427,1.0343665,0.11225695,0.08285862,0.13385272,0.27005002
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.62441714,144.91363231,136.50522448,135.91409577,26.53244075,28.88826402,29.0188194,25.39588113,26.56214649,28.90589274,24.68116192,27.69093891,-5.75708134,1.15821937,-26.06555397,-11.42723336,13.21018065,12.74675332,13.46372599,16.31677964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66524746,0.41793121,0.48133971,0.54081826,0.1181418,0.11744827,0.11440021,0.07607993,0.09911875,0.07492,0.12425202,0.16951935,0.42438957,0.51240629,0.34381891,0.74160902,0.16128035,0.12076073,0.16719164,0.32291656
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.35399942,135.97982752,152.27669127,136.85463229,29.54103024,25.89159616,26.62191979,28.30663282,30.67930589,27.3603106,28.07199297,26.26133623,-19.94776091,-20.78001405,-1.0112875,-21.68750478,16.04254179,15.24848304,15.91944862,17.70451676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473813,0.50075213,0.82321909,0.42987721,0.13492264,0.1070405,0.13924687,0.12168646,0.16099948,0.10313879,0.10171228,0.10108916,0.43818071,0.53385324,0.75177085,0.73026194,0.13728338,0.17641611,0.17844231,0.13661716
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.74100287,150.72067283,137.08147608,140.19593319,22.88073313,32.99217004,29.99624092,29.60869594,28.17499345,29.64564169,24.83544537,24.68567629,-18.5038204,-5.0379284,-17.91985002,-19.21457633,10.29622435,19.02294318,14.12250968,20.58240152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62784655,1.11883398,0.74513971,0.93252362,0.16744696,0.14578598,0.18569385,0.22151431,0.25710497,0.17456047,0.14301847,0.1515036,0.83865977,0.55406889,1.31098765,0.85766128,0.12152601,0.11754516,0.15039919,0.18514512
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.44798021,136.00249742,137.92898894,140.94628427,28.23902855,24.51563327,26.91939625,25.72906084,27.95564419,28.64436893,27.77588745,27.104063,-15.38814508,-16.53733958,-16.50671586,-17.53921455,16.33139531,14.3082258,16.13054769,15.53070697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843654,0.72947334,0.56558001,0.88598431,0.12615907,0.12096777,0.16524579,0.21877654,0.27225232,0.15861743,0.08910813,0.0853056,0.42268411,0.47375531,0.72006867,0.42789598,0.10408756,0.12520568,0.1805557,0.09642294
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.00046801,147.6295632,129.92532868,139.68719669,24.30381452,28.3658953,25.65452554,24.66508055,25.84067227,27.77188286,27.55597393,25.52615484,-11.57279846,-13.5186678,-2.19587099,-10.56098481,14.49904645,14.93068632,18.32041753,15.69642513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85402769,0.64247327,0.66882637,0.81971315,0.1477491,0.11566299,0.14502333,0.56169369,0.15112214,0.22491893,0.13046405,0.12541547,0.66499044,0.3800014,0.39994685,0.52967435,0.13544363,0.12402775,0.20519446,0.19071571
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.99075651,140.30345605,146.28482359,145.31400642,26.81586912,26.14349429,28.33877634,26.72362781,28.76276209,28.30720823,27.49484343,28.28224278,-15.07039509,-9.77114935,-2.54356229,1.20225407,12.96479213,16.10798514,17.40421498,13.29201167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57885782,0.87610768,0.56110306,1.05307201,0.0876019,0.13017082,0.177268,0.19275856,0.10108212,0.15114038,0.10635753,0.113577,0.52858981,0.56435013,0.53025594,0.61373485,0.17612471,0.17763337,0.18356835,0.12015479
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.17245302,132.40339905,151.93779936,143.57241228,25.69874526,29.06560917,27.24300632,29.26567624,28.82094885,27.5457793,27.63158006,25.18246577,-12.71512725,-21.10542407,-20.04248067,-15.62771403,16.60828787,18.04407209,17.93956803,13.25614188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46908725,0.8212032,0.61246993,0.77800688,0.09335089,0.13527546,0.11508432,0.10610279,0.13207398,0.24689053,0.1103224,0.14672968,0.64636712,0.38594517,0.8169845,0.81817712,0.16756105,0.26184565,0.22402719,0.21182679
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.45180955,123.54792786,130.9631282,140.30968907,29.3128382,26.11154322,27.0503938,26.80197743,28.90829721,25.41337552,26.53132093,29.30014554,-2.06201653,-13.14835946,-15.64851378,-37.57378536,19.51087893,14.57036014,18.56042948,10.08830029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66583317,0.84373882,1.00135727,0.5447542,0.10237023,0.16153072,0.19087418,0.08764113,0.12708645,0.13569852,0.14515357,0.11060659,0.78720254,0.93387132,1.04809091,0.61562128,0.20722198,0.20723016,0.2565308,0.19016366
