,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12
20,85.21530829,95.66206008,-16.76100691,88.13701164,16.68353157,17.13831388,-116.54454731,0.68416797,138.72580087,116.36458648,129.46642181,125.41099005,29.64617155,24.98971876,26.24439505,26.05987426,29.50359885,26.68964806,29.08614331,25.96994606,-18.30924955,-14.63773386,0.18724229,-23.79978665,20.4089618,16.42888278,16.69379046,19.7487467
21,18.39073745,54.4289398,66.81452864,150.18609138,-94.74392565,-87.40143657,-91.56031597,-23.37051923,51.4732569,148.05956238,107.18751369,132.97016698,18.24499097,30.9256433,25.38348696,26.47800481,26.2466685,30.32521556,22.87750189,23.90597684,-22.71819615,-10.17229619,-20.12159263,-12.39299643,6.3933286,21.01321087,13.73782507,25.58606512
22,50.0183419,50.66700839,5.76844853,88.54376309,-47.81716087,-63.61442985,-47.37071392,-47.59168228,138.30734631,110.81353205,121.2014057,137.4336506,28.15421241,22.00690928,25.8848411,24.43127855,27.69162863,28.0662066,27.08444111,26.39294556,-11.61259564,-29.63251446,-21.81547614,-22.20744132,18.15575452,11.76120105,13.25626549,16.08913527
23,86.2979087,60.17826106,15.5784757,63.46568135,-19.4745612,-145.59166038,-153.74564258,-91.13787141,110.77477506,137.54139139,97.32071843,96.27663471,23.67761623,27.85914927,24.28305474,23.89513732,25.06618231,27.02418404,26.0640864,24.80285713,0.69394341,-28.45388503,-5.03553623,-18.24943213,15.27632415,13.94246838,17.78690697,17.07512472
24,27.03632695,-18.6362642,26.18122977,10.03851837,-73.20195782,-53.44399812,-119.14925909,-277.20273377,132.21983834,135.10375043,147.28465139,112.79948806,26.14135805,26.17828676,28.00777017,27.16392469,27.73700297,27.16570728,27.95618467,27.85856621,-30.6683052,-10.9448151,3.4037022,-17.13442584,11.4461861,15.58208102,17.23293379,8.33691653
25,123.89711428,136.5249411,76.44315044,-32.97637939,-179.43388868,-44.45487002,34.67782151,4.04426628,115.96053225,119.25289367,163.64003918,112.56645043,23.64795504,28.89452041,27.58521231,27.98991928,27.0655387,25.68331404,27.68428467,24.46056163,-19.48348691,-25.5281018,-10.81417505,-15.33377223,19.91620086,23.04162197,16.58686263,13.35246565
26,-34.24224963,-71.05001305,52.04768075,76.8582334,-103.42826246,-113.09130549,-36.95815814,-13.70643491,145.88242606,73.49931339,89.02360911,147.91326363,29.02921525,25.17795118,23.98525289,26.07410033,28.4556296,23.59039052,25.57736855,28.71009679,-3.40056865,-23.43559477,-15.53727545,-26.91898261,22.42481297,7.97842108,18.8608214,10.51169113
27,27.37515537,106.984082,11.87260622,167.00255293,-133.7196761,-52.60500546,-90.60705232,-171.19560066,132.90574769,126.56048078,119.240091,89.42265936,27.41344448,23.91043662,26.01418894,24.98504806,27.64738225,23.12239116,28.05452329,26.65337276,-15.67835519,-20.92467226,-4.36391802,-12.99540552,14.27709788,14.49739148,22.20893383,27.47331371
28,93.8080934,114.36840692,-47.95526637,63.91081656,-119.00371229,-64.65359499,-51.50368189,-220.44858396,125.1601638,134.84467435,133.41345757,135.40382376,28.55578216,29.22872233,29.76686152,30.19156111,28.6561947,25.91347876,27.20931643,28.38112353,-34.47791088,-11.74752452,-6.28535586,-19.30691177,15.85176469,22.70223263,18.49293114,11.92081029
29,74.9456541,12.91769084,53.83407006,-36.31794716,38.87168429,-79.20347398,-29.71008875,47.46070749,135.21400109,139.58065007,142.29810024,113.80357205,26.17834707,27.89226333,25.89443897,22.58389688,26.38756013,27.20022294,26.73552722,25.67173797,-31.78889362,-21.53977917,-19.3255172,-24.63406509,7.45926235,7.87153513,11.74495719,8.38446867
30,2.45992702,-42.76830636,126.76462236,85.68107437,-63.20985278,-97.26466739,-297.07973952,-225.06412687,136.59274153,110.32083184,125.32764714,167.01733516,29.80346437,27.63295518,28.99608045,28.9456555,28.14157758,29.16426371,25.0863167,29.37150195,-9.3540807,-22.94723777,-19.18910094,-5.00235486,12.9135846,10.58725438,21.85909775,21.40255246
31,-6.64627438,95.12937405,-37.03740057,87.87178662,-145.82913281,-32.90890442,-83.11674951,-92.0912579,124.62742818,162.15539666,117.46191592,112.04331897,24.77729853,28.34941477,27.49225856,20.32320587,27.03548967,29.05130871,26.00017143,26.5843502,-7.72802228,-24.95412266,-25.92755237,-14.78112487,6.08076266,21.78244225,5.82436758,11.89462881
32,34.32242092,76.63127392,154.17152113,83.30087566,63.19023944,-106.3988635,-174.80916499,-56.38136405,124.0704821,133.42399455,119.36553871,133.44225509,26.12386772,29.58836817,26.76069295,27.634608,27.54737492,29.11558838,24.45646113,25.82979649,-30.07340513,-20.79663751,-18.76619761,-22.24321005,10.43896387,24.22215115,26.72579695,18.64320347
33,-86.70364854,5.89690811,-3.46764513,48.8571532,-1.05610126,10.5983789,-103.84886301,-87.91220161,153.69631416,134.43682018,130.61997065,10.73041879,28.28211685,28.82465835,26.9448912,19.05481397,28.60671982,27.80162012,29.36404121,18.36755078,-7.73794809,-21.16574815,-16.33767221,-17.04664685,11.277148,20.84019177,8.72483251,19.70050161
34,21.34997654,65.75738478,68.78063694,55.35204175,-170.45463958,-70.38018387,-47.4010072,-168.00373059,143.72720883,128.09889579,90.26491007,137.35890373,26.66919542,24.70819855,23.25829705,28.53769243,27.73027425,26.95255709,24.60182307,29.18008236,-16.01818237,-10.9128498,-23.41067481,-6.08230949,8.8000748,16.19007567,17.91586512,20.14768373
35,72.48365085,-47.71356159,-93.37007162,9.88016043,-8.02791651,-41.28725971,-100.50524896,69.42663897,97.60434781,123.82223285,155.86649695,167.75069158,25.23935362,28.00144889,30.20516578,28.55432172,25.30841226,29.30714597,29.73826991,29.14993037,-26.1492522,-10.03263713,-8.86198393,-8.4018979,19.62505551,22.97614085,8.14928042,14.22589773
36,78.50044179,93.12975115,142.12636576,-86.47860106,-79.48349703,-148.41358323,-42.0694103,-141.55588855,149.69048167,123.12806693,97.19910366,131.99196542,28.35847139,26.76334159,25.28727714,29.65155623,28.7738649,25.72630308,22.10423021,26.59575549,-25.47175529,-25.36021519,-8.53627027,-0.25764327,8.04018967,14.77874199,24.87884709,9.44116504
37,28.93060578,105.33626649,98.38803922,77.62812973,-114.64001331,-93.78071193,-23.06275814,-119.2874447,132.95697038,121.67389996,139.44045709,108.05971572,29.01950107,24.53185221,28.65079788,25.10166575,27.18227896,26.72137184,28.06215996,23.25902836,-11.10472778,-35.4259959,-23.31332151,-16.6732688,17.17179259,22.09578879,16.58403508,12.88840622
38,-93.67274314,12.92754857,56.35474103,66.74855131,-29.64364182,-9.59362117,-29.41559085,25.97558096,152.6654282,144.44459005,41.93193238,139.18208277,28.29672322,23.29875673,20.50411971,25.74156955,27.8053124,27.64307964,22.28106822,28.67172851,-23.33167192,-7.16198909,-15.74559269,-18.51824428,6.34976035,8.08515327,14.67408715,23.03168782
39,119.4950115,100.4965081,54.13462803,-16.12632045,-105.26062887,-24.50577947,-159.3177897,-190.01356289,96.27987986,129.78789166,107.92614884,129.97857934,23.55142907,29.06224014,27.73319589,27.82333748,24.11585932,28.46899153,27.74060034,30.0845153,-27.773371,-18.39498258,-5.1197938,9.50190123,22.60066858,23.8339261,19.22153556,16.47378258
40,46.57905807,-133.03530582,-3.04113757,25.48710083,-104.54302235,-229.12786554,-100.76277027,-99.64485559,147.32979844,112.04605628,139.60409244,152.35869707,29.1648321,27.87121284,29.12615346,29.01280187,29.4981538,30.33305405,29.19526629,28.0113634,-23.60036706,0.20463696,-26.10486669,-9.8335375,10.12869318,8.46427271,7.89412714,10.57865596
41,-73.14373829,131.30731247,114.58355494,21.19875438,-19.38100105,-31.32191422,-83.88047633,-19.91089954,111.46560683,150.89655204,137.37147251,87.15247132,25.70861916,25.57722707,26.40323678,25.0951969,27.04097868,26.85872658,26.06445459,26.81442968,5.9902104,-6.78937287,-18.85542864,-3.9443846,20.82387107,22.67791131,20.45642725,21.68323192
