################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2        100   5.5038788428141147E-03   1.7222791281052655E-01   3.3842384669180110E-02   1.4372396692107117E-02
         2        101   9.9048930205788543E-04   1.3223080300102602E-01   1.7159903327143209E-02   1.2099984794686094E-02
         2        102   1.2463809178000619E-02   3.4017620943217791E-01   6.4781953964496458E-02   2.6678210756920000E-02
         2        103   4.8478581965310640E-03   1.7677335656119594E-01   3.2207461395716508E-02   8.8615658390448892E-03
         2        104   2.1825976086643356E-03   8.4180100708308628E-02   2.0381413517297543E-02   1.0830315984492377E-02
         2        105   8.7656808619157259E-03   4.1092592743165801E-01   6.0899962631247133E-02   2.2432003723223390E-02
         2        106   1.9321620733051020E-02   5.6346065216966745E-01   1.1860173692764293E-01   2.7520851709418662E-02
         2        107   1.9955287212007943E-03   1.5810321691105922E-01   1.7663888300420868E-02   8.1795600902419205E-03
         2        108   5.8700765507258685E-04   2.2642217918373594E-01   3.5590106469917025E-02   2.0066015371070126E-02
         2        109   6.0875644793510798E-03   2.3163730751983705E-01   3.8487247157618580E-02   1.0966636338291591E-02
         2        110   2.4741751421939661E-03   1.0980972072835703E-01   2.2001648319892556E-02   1.0786278386598736E-02
         2        111   1.0417356453734825E-02   4.7787183552257062E-01   1.0187638758186732E-01   2.3526290583847351E-02
         2        112   7.9873818319812237E-04   1.5739165831600338E-01   1.6725903196765646E-02   6.4783878057948722E-03
         2        113   8.2340835139085976E-03   2.1138393512032463E-01   4.0015858958249773E-02   1.8060940636947284E-02
         2        114   1.8306768438826997E-03   1.3706848470537986E-01   1.3803972555230689E-02   7.1573073422187845E-03
         2        115   2.3095326782985689E-04   1.0586553933574792E-01   2.7704666054798200E-02   1.9791493055444306E-02
         2        116   9.2969235124453192E-04   5.4064297261373975E-02   1.3617707607503714E-02   8.4914318417061551E-03
         2        117   6.6870116037608208E-05   4.6419917044243926E-02   7.1547060359198559E-03   6.4897435976323994E-03
         2        118   8.4840787862868784E-03   3.7571515886682616E-01   8.0110008358730514E-02   1.6779246757696886E-02
         2        119   1.4434719489904133E-02   4.7460268884690082E-01   6.6660127422499924E-02   2.5080449742755206E-02
         2        120   6.5137262036218013E-04   1.2637776674518744E-01   1.3902754810606448E-02   5.1688457762619914E-03
         2        121   2.1753941023703945E-04   1.0811851356722968E-01   2.7477705783913727E-02   2.0084042265566773E-02
         2        122   1.7706263349100769E-03   9.2951816558565770E-02   1.8047483506291644E-02   9.3561894283602041E-03
         2        123   4.7225603198693686E-04   5.3747992638501031E-02   8.4158409229112812E-03   3.0004028919101877E-03
         2        124   1.8558364620305281E-04   2.5569248339563765E-02   6.8587855473177519E-03   5.2639607890142487E-03
         2        125   5.4079134453601549E-04   1.2472727247234228E-01   1.5092211213725030E-02   6.6087527376746062E-03
         2        126   2.4357602409088243E-04   4.0579154746891333E-02   3.0903912540041216E-03   1.8034054063868444E-03
         3          1   6.9508090151043974E-03   8.5591824749099332E-01   2.0920834057824303E-01   7.6664080811999880E-02
