################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8223859836749576E-01 a       199     0     9     1     7
  1.7678047129539914E-01 a       200     0     9     1     8
  1.3671317371575412E-01 a       201     0     9     1     9
  1.0599838387946005E-01 a       202     0     9     1    10
  1.0865922895663693E-01 a       203     0     9     1    11
 -2.0774076844386929E-01 a       204     0     9     1    12
  1.1422064383239519E-01 a       205     0     9     1    13
  1.4675329684285882E-01 a       206     0     9     1    14
 -7.6069300191077702E-02 a       207     0     9     1    15
  2.4500770158813248E-01 a       208     0     9     1    16
 -2.3507956684975104E-01 a       209     0     9     1    17
 -2.0077158449715049E-01 a       210     0     9     1    18
 -1.5509885281287222E-01 a       211     0     9     1    19
 -2.6158929629644591E-02 a       212     0     9     1    20
 -5.5300677562089250E-02 a       213     0     9     1    21
  8.7093815163261173E-02 a       214     0     9     1    22
  9.1016905087118252E-02 a       215     0     9     1    23
 -1.7362345261254324E-03 a       216     0     9     1    24
 -1.1672328131838232E-01 a       217     0    10     1     1
 -8.2851581594215157E-02 a       218     0    10     1     2
 -3.5738676548552339E-01 a       219     0    10     1     3
  2.7244230303757517E-02 a       220     0    10     1     4
 -3.0770784367381981E-01 a       221     0    10     1     5
 -2.9072867995206669E-01 a       222     0    10     1     6
  2.9101705651049144E-03 a       223     0    10     1     7
  3.7821916654283999E-02 a       224     0    10     1     8
  1.7533591300066518E-02 a       225     0    10     1     9
  1.8253817381651563E-01 a       226     0    10     1    10
 -1.8911019426853753E-01 a       227     0    10     1    11
  3.8459662204293160E-01 a       228     0    10     1    12
 -2.3526906656855739E-01 a       229     0    10     1    13
 -6.3388941443566482E-01 a       230     0    10     1    14
  3.6392785244214854E-01 a       231     0    10     1    15
  1.2005906873964756E-01 a       232     0    10     1    16
 -2.1243217338284276E-01 a       233     0    10     1    17
 -2.9831897637840010E-01 a       234     0    10     1    18
 -5.1003612049958902E-02 a       235     0    10     1    19
 -2.4447113989338012E-01 a       236     0    10     1    20
  1.3626833269095723E-02 a       237     0    10     1    21
 -4.5437311258745983E-01 a       238     0    10     1    22
 -1.2825604267511739E-01 a       239     0    10     1    23
 -8.6684854062497055E-02 a       240     0    10     1    24
 -3.0402613121925726E-01 a       241     0    11     1     1
 -1.7655939418417080E-01 a       242     0    11     1     2
  1.0743920321565258E-02 a       243     0    11     1     3
  8.7222069937160071E-02 a       244     0    11     1     4
 -7.3909364709524417E-02 a       245     0    11     1     5
 -1.3773739136325056E-01 a       246     0    11     1     6
  3.9993563901892032E-01 a       247     0    11     1     7
  2.1875964135147466E-01 a       248     0    11     1     8
 -3.2065660956429332E-01 a       249     0    11     1     9
  3.4540452480888093E-02 a       250     0    11     1    10
 -9.2138206514295592E-02 a       251     0    11     1    11
 -4.2610691317908872E-02 a       252     0    11     1    12
 -2.1357049243209342E-01 a       253     0    11     1    13
 -1.5109026244753546E-01 a       254     0    11     1    14
 -8.9852702805275603E-02 a       255     0    11     1    15
  4.3287948316859204E-01 a       256     0    11     1    16
 -4.2028855916868174E-01 a       257     0    11     1    17
 -2.4190522828833882E-01 a       258     0    11     1    18
 -2.9060869894946206E-01 a       259     0    11     1    19
  1.3531957710146780E-01 a       260     0    11     1    20
 -7.8497811370285275E-02 a       261     0    11     1    21
 -6.8902396426455750E-02 a       262     0    11     1    22
 -2.2189349525510396E-01 a       263     0    11     1    23
  1.2169733882899532E-01 a       264     0    11     1    24
 -6.2483953709487547E-02 a       265     0    12     1     1
 -5.3104167380473976E-04 a       266     0    12     1     2
 -1.3462786543941169E-01 a       267     0    12     1     3
 -2.7424622421854034E-01 a       268     0    12     1     4
  1.1663835319528273E-01 a       269     0    12     1     5
  4.3797244507371241E-02 a       270     0    12     1     6
  9.1360776457006937E-02 a       271     0    12     1     7
  6.1130870400927330E-02 a       272     0    12     1     8
  1.5250142205179154E-01 a       273     0    12     1     9
  6.6585695160502362E-02 a       274     0    12     1    10
  3.3389320998897004E-03 a       275     0    12     1    11
  6.1384729584465191E-02 a       276     0    12     1    12
 -1.5708647344410950E-01 a       277     0    12     1    13
 -2.5961501794925679E-01 a       278     0    12     1    14
 -5.0904443035237334E-03 a       279     0    12     1    15
  1.0293762328107665E-01 a       280     0    12     1    16
  4.7195167763346667E-02 a       281     0    12     1    17
 -4.8196421812299502E-03 a       282     0    12     1    18
  6.5332150270252243E-02 a       283     0    12     1    19
  2.9781798222180224E-02 a       284     0    12     1    20
 -7.1341452388883108E-04 a       285     0    12     1    21
 -2.6396937800806120E-01 a       286     0    12     1    22
 -2.9235780729215672E-03 a       287     0    12     1    23
 -1.7428988771418072E-01 a       288     0    12     1    24
 -1.3253218305269743E-01 a       289     0    13     1     1
  1.0372265905559251E-01 a       290     0    13     1     2
  3.4684595043485485E-02 a       291     0    13     1     3
 -2.4487401272399198E-01 a       292     0    13     1     4
 -1.7083330844931291E-01 a       293     0    13     1     5
 -1.4734728201505964E-01 a       294     0    13     1     6
  1.3846904232858531E-01 a       295     0    13     1     7
  1.2668374034201302E-01 a       296     0    13     1     8
  1.4286497867888243E-01 a       297     0    13     1     9
 -1.7447824308099491E-01 a       298     0    13     1    10
 -1.1119171446071768E-01 a       299     0    13     1    11
  3.2738083110690330E-01 a       300     0    13     1    12
  8.6157562526920792E-02 a       301     0    13     1    13
 -3.3294519812984136E-01 a       302     0    13     1    14
  2.6580984601974211E-01 a       303     0    13     1    15
  5.2914832737968931E-02 a       304     0    13     1    16
  5.3286312317645922E-03 a       305     0    13     1    17
 -2.1420951664391932E-01 a       306     0    13     1    18
  1.6422846559861842E-01 a       307     0    13     1    19
 -1.2386113980532404E-01 a       308     0    13     1    20
  8.8196676622582529E-02 a       309     0    13     1    21
  1.9113938763762651E-02 a       310     0    13     1    22
  1.0896394050386812E-01 a       311     0    13     1    23
 -2.0274999330937155E-01 a       312     0    13     1    24
  3.7757297028910335E-02 a       313     0    14     1     1
 -3.8330475463290797E-02 a       314     0    14     1     2
 -1.5802854823613979E-01 a       315     0    14     1     3
  1.6636289552623362E-01 a       316     0    14     1     4
 -1.7286177092462768E-01 a       317     0    14     1     5
  1.9066024111986022E-02 a       318     0    14     1     6
  6.2674770074509278E-02 a       319     0    14     1     7
 -4.9912678974075600E-02 a       320     0    14     1     8
  4.5620880596473229E-01 a       321     0    14     1     9
  2.1499983243890916E-01 a       322     0    14     1    10
  4.6170682229260240E-02 a       323     0    14     1    11
 -9.7799672962133155E-02 a       324     0    14     1    12
 -1.2548306349436952E-01 a       325     0    14     1    13
 -4.9152453144879905E-02 a       326     0    14     1    14
 -1.1690625975926873E-01 a       327     0    14     1    15
 -2.8316132557168749E-01 a       328     0    14     1    16
 -2.4600485712934003E-01 a       329     0    14     1    17
 -4.5244012058008064E-02 a       330     0    14     1    18
 -2.6375634150425986E-01 a       331     0    14     1    19
